
Protocol tcp Port Exclusion Ranges

Start Port    End Port      
----------    --------      
      5357        5357      
     49801       49900      
     50000       50059     *
     50060       50159      
     50160       50259      
     50260       50359      
     50360       50459      
     50460       50559      
     50560       50659      
     50660       50759      
     50760       50859      
     50860       50959      
     51008       51107      
     53856       53955      
     53956       54055      
     54056       54155      
     54156       54255      
     54256       54355      
     54356       54455      
     54456       54555      
     54556       54655      
     54656       54755      
     54756       54855      
     54856       54955      
     58801       58900      
     58901       59000      

* - Administered port exclusions.

